,ni_fraction,ni_fraction,ni_fraction,ni_fraction,ni_fraction,overpotential,overpotential,overpotential,overpotential,overpotential,pt_fraction,pt_fraction,pt_fraction,limiting_potential,limiting_potential,limiting_potential
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,count,mean,std
iter,,,,,,,,,,,,,,,,
iter0,128,0.4774,0.3108,0.0156,0.9844,128,0.9204,0.405,0.2983,1.998,128,0.5226,0.3108,128,0.3096,0.405
iter1,128,0.2074,0.1902,0.0,0.9844,128,0.5002,0.1855,0.2849,1.3125,128,0.7926,0.1902,128,0.7298,0.1855
iter2,128,0.1898,0.0631,0.0625,0.4375,128,0.4266,0.0584,0.3419,0.6975,128,0.8102,0.0631,128,0.8034,0.0584
iter3,128,0.2421,0.2486,0.0,1.0,128,0.5211,0.1973,0.2924,1.2912,128,0.7579,0.2486,128,0.7089,0.1973
